threshold,accuracy,f1,tn,fp,fn,tp,similarity_type
0.11,0.5766666666666667,0.5889967637540453,82,81,46,91,review_similarity
0.12,0.6,0.5862068965517241,95,68,52,85,review_similarity
0.13,0.6033333333333334,0.5703971119133574,102,61,58,79,review_similarity
0.14,0.6,0.5488721804511278,107,56,64,73,review_similarity
0.15,0.6166666666666667,0.5525291828793775,114,49,66,71,review_similarity
0.16,0.6033333333333334,0.5220883534136547,116,47,72,65,review_similarity
0.17,0.6,0.5081967213114754,118,45,75,62,review_similarity
0.18,0.6066666666666667,0.5,123,40,78,59,review_similarity
0.19,0.61,0.4978540772532189,125,38,79,58,review_similarity
0.2,0.6,0.4642857142857143,128,35,85,52,review_similarity
0.21,0.5866666666666667,0.4205607476635514,131,32,92,45,review_similarity
0.22,0.59,0.41148325358851673,134,29,94,43,review_similarity
0.23,0.58,0.37623762376237624,136,27,99,38,review_similarity
0.24,0.5766666666666667,0.36180904522613067,137,26,101,36,review_similarity
0.25,0.57,0.3316062176165803,139,24,105,32,review_similarity
0.26,0.5666666666666667,0.3010752688172043,142,21,109,28,review_similarity
0.27,0.5633333333333334,0.27624309392265195,144,19,112,25,review_similarity
0.28,0.5566666666666666,0.2569832402234637,144,19,114,23,review_similarity
0.29,0.55,0.23728813559322035,144,19,116,21,review_similarity
0.3,0.5366666666666666,0.17751479289940827,146,17,122,15,review_similarity
0.31,0.5333333333333333,0.16666666666666666,146,17,123,14,review_similarity
0.32,0.53,0.15568862275449102,146,17,124,13,review_similarity
0.33,0.5266666666666666,0.14457831325301204,146,17,125,12,review_similarity
0.34,0.53,0.13496932515337423,148,15,126,11,review_similarity
0.35,0.5233333333333333,0.11180124223602485,148,15,128,9,review_similarity
0.36,0.52,0.08860759493670886,149,14,130,7,review_similarity
0.37,0.52,0.08860759493670886,149,14,130,7,review_similarity
0.38,0.5233333333333333,0.08917197452229299,150,13,130,7,review_similarity
0.39,0.52,0.07692307692307693,150,13,131,6,review_similarity
0.4,0.52,0.07692307692307693,150,13,131,6,review_similarity
0.41,0.52,0.07692307692307693,150,13,131,6,review_similarity
0.42,0.5233333333333333,0.07741935483870968,151,12,131,6,review_similarity
0.43,0.5233333333333333,0.07741935483870968,151,12,131,6,review_similarity
0.44,0.5233333333333333,0.07741935483870968,151,12,131,6,review_similarity
0.45,0.5233333333333333,0.07741935483870968,151,12,131,6,review_similarity
0.46,0.5266666666666666,0.07792207792207792,152,11,131,6,review_similarity
0.47,0.5266666666666666,0.07792207792207792,152,11,131,6,review_similarity
0.48,0.5233333333333333,0.06535947712418301,152,11,132,5,review_similarity
0.49,0.5233333333333333,0.06535947712418301,152,11,132,5,review_similarity
0.5,0.5266666666666666,0.06578947368421052,153,10,132,5,review_similarity
0.51,0.5266666666666666,0.06578947368421052,153,10,132,5,review_similarity
0.52,0.5266666666666666,0.06578947368421052,153,10,132,5,review_similarity
0.53,0.5233333333333333,0.052980132450331126,153,10,133,4,review_similarity
0.54,0.5233333333333333,0.052980132450331126,153,10,133,4,review_similarity
0.55,0.5266666666666666,0.05333333333333334,154,9,133,4,review_similarity
0.56,0.5266666666666666,0.05333333333333334,154,9,133,4,review_similarity
0.57,0.5233333333333333,0.040268456375838924,154,9,134,3,review_similarity
0.58,0.5233333333333333,0.040268456375838924,154,9,134,3,review_similarity
0.59,0.5233333333333333,0.040268456375838924,154,9,134,3,review_similarity
0.6,0.5233333333333333,0.040268456375838924,154,9,134,3,review_similarity
0.61,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.62,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.63,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.64,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.65,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.66,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.67,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.68,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.69,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.7,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.71,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.72,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.73,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.74,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.75,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.76,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.77,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.78,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.79,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.8,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.81,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.82,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
