dataset,baseline_similarity,threshold,accuracy,f1,is_best_threshold
100_GT.csv,combined_similarity,0.98,0.62,0.0,0
100_GT.csv,combined_similarity,0.99,0.64,0.0,1
300_GT.csv,combined_similarity,0.0,0.45666666666666667,0.6270022883295194,0
300_GT.csv,combined_similarity,0.01,0.45666666666666667,0.6270022883295194,0
300_GT.csv,combined_similarity,0.02,0.45666666666666667,0.6270022883295194,0
300_GT.csv,combined_similarity,0.03,0.45666666666666667,0.6270022883295194,0
300_GT.csv,combined_similarity,0.04,0.45666666666666667,0.6270022883295194,0
300_GT.csv,combined_similarity,0.05,0.45666666666666667,0.6270022883295194,0
300_GT.csv,combined_similarity,0.06,0.4633333333333333,0.6298850574712643,0
300_GT.csv,combined_similarity,0.07,0.4666666666666667,0.631336405529954,0
300_GT.csv,combined_similarity,0.08,0.47,0.6310904872389791,0
300_GT.csv,combined_similarity,0.09,0.48333333333333334,0.6352941176470588,0
300_GT.csv,combined_similarity,0.1,0.5,0.6411483253588517,0
300_GT.csv,combined_similarity,0.11,0.52,0.6504854368932039,0
300_GT.csv,combined_similarity,0.12,0.5366666666666666,0.6533665835411472,0
300_GT.csv,combined_similarity,0.13,0.56,0.65625,0
300_GT.csv,combined_similarity,0.14,0.5733333333333334,0.6521739130434783,0
300_GT.csv,combined_similarity,0.15,0.6,0.6590909090909091,0
300_GT.csv,combined_similarity,0.16,0.61,0.6548672566371682,0
300_GT.csv,combined_similarity,0.17,0.62,0.6503067484662577,0
300_GT.csv,combined_similarity,0.18,0.6366666666666667,0.6561514195583596,0
300_GT.csv,combined_similarity,0.19,0.6366666666666667,0.6426229508196721,0
300_GT.csv,combined_similarity,0.2,0.6333333333333333,0.6258503401360545,0
300_GT.csv,combined_similarity,0.21,0.6333333333333333,0.6180555555555556,0
300_GT.csv,combined_similarity,0.22,0.6433333333333333,0.6164874551971327,0
300_GT.csv,combined_similarity,0.23,0.6366666666666667,0.5947955390334573,0
300_GT.csv,combined_similarity,0.24,0.6466666666666666,0.5984848484848485,0
300_GT.csv,combined_similarity,0.25,0.64,0.578125,0
300_GT.csv,combined_similarity,0.26,0.6466666666666666,0.5725806451612904,0
300_GT.csv,combined_similarity,0.27,0.66,0.5785123966942148,1
