threshold,accuracy,f1,tn,fp,fn,tp,similarity_type,dataset,baseline_similarity,is_best_threshold
0.64,0.53,0.04081632653061224,52,12,35,1,combined_similarity,100_GT.csv,combined_similarity,0
0.65,0.53,0.04081632653061224,52,12,35,1,combined_similarity,100_GT.csv,combined_similarity,0
0.66,0.52,0.0,52,12,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.67,0.52,0.0,52,12,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.68,0.52,0.0,52,12,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.69,0.52,0.0,52,12,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.7,0.53,0.0,53,11,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.71,0.53,0.0,53,11,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.72,0.53,0.0,53,11,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.73,0.53,0.0,53,11,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.74,0.53,0.0,53,11,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.75,0.53,0.0,53,11,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.76,0.53,0.0,53,11,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.77,0.54,0.0,54,10,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.78,0.54,0.0,54,10,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.79,0.54,0.0,54,10,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.8,0.54,0.0,54,10,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.81,0.54,0.0,54,10,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.82,0.54,0.0,54,10,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.83,0.54,0.0,54,10,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.84,0.54,0.0,54,10,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.85,0.54,0.0,54,10,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.86,0.54,0.0,54,10,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.87,0.54,0.0,54,10,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.88,0.54,0.0,54,10,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.89,0.54,0.0,54,10,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.9,0.54,0.0,54,10,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.91,0.54,0.0,54,10,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.92,0.54,0.0,54,10,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.93,0.55,0.0,55,9,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.94,0.55,0.0,55,9,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.95,0.56,0.0,56,8,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.96,0.58,0.0,58,6,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.97,0.6,0.0,60,4,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.98,0.62,0.0,62,2,36,0,combined_similarity,100_GT.csv,combined_similarity,0
0.99,0.64,0.0,64,0,36,0,combined_similarity,100_GT.csv,combined_similarity,1
