threshold,accuracy,f1,tn,fp,fn,tp,similarity_type
0.0,0.36,0.5294117647058824,0,64,0,36,feature_similarity
0.01,0.4,0.4,20,44,16,20,feature_similarity
0.02,0.4,0.4,20,44,16,20,feature_similarity
0.03,0.4,0.4,20,44,16,20,feature_similarity
0.04,0.4,0.4,20,44,16,20,feature_similarity
0.05,0.4,0.4,20,44,16,20,feature_similarity
0.06,0.4,0.4,20,44,16,20,feature_similarity
0.07,0.4,0.4,20,44,16,20,feature_similarity
0.08,0.4,0.4,20,44,16,20,feature_similarity
0.09,0.4,0.4,20,44,16,20,feature_similarity
0.1,0.41,0.40404040404040403,21,43,16,20,feature_similarity
0.11,0.41,0.40404040404040403,21,43,16,20,feature_similarity
0.12,0.41,0.40404040404040403,21,43,16,20,feature_similarity
0.13,0.43,0.41237113402061853,23,41,16,20,feature_similarity
0.14,0.43,0.41237113402061853,23,41,16,20,feature_similarity
0.15,0.46,0.425531914893617,26,38,16,20,feature_similarity
0.16,0.45,0.40860215053763443,26,38,17,19,feature_similarity
0.17,0.45,0.40860215053763443,26,38,17,19,feature_similarity
0.18,0.46,0.4,28,36,18,18,feature_similarity
0.19,0.46,0.4,28,36,18,18,feature_similarity
0.2,0.46,0.4,28,36,18,18,feature_similarity
0.21,0.46,0.38636363636363635,29,35,19,17,feature_similarity
0.22,0.46,0.38636363636363635,29,35,19,17,feature_similarity
0.23,0.49,0.4,32,32,19,17,feature_similarity
0.24,0.49,0.4,32,32,19,17,feature_similarity
0.25,0.49,0.4,32,32,19,17,feature_similarity
0.26,0.49,0.4,32,32,19,17,feature_similarity
0.27,0.55,0.4155844155844156,39,25,20,16,feature_similarity
0.28,0.54,0.39473684210526316,39,25,21,15,feature_similarity
0.29,0.54,0.39473684210526316,39,25,21,15,feature_similarity
0.3,0.54,0.39473684210526316,39,25,21,15,feature_similarity
0.31,0.54,0.39473684210526316,39,25,21,15,feature_similarity
0.32,0.54,0.39473684210526316,39,25,21,15,feature_similarity
0.33,0.54,0.39473684210526316,39,25,21,15,feature_similarity
0.34,0.56,0.2903225806451613,47,17,27,9,feature_similarity
0.35,0.56,0.2903225806451613,47,17,27,9,feature_similarity
0.36,0.56,0.2903225806451613,47,17,27,9,feature_similarity
0.37,0.56,0.2903225806451613,47,17,27,9,feature_similarity
0.38,0.59,0.3050847457627119,50,14,27,9,feature_similarity
0.39,0.59,0.3050847457627119,50,14,27,9,feature_similarity
0.4,0.59,0.3050847457627119,50,14,27,9,feature_similarity
0.41,0.59,0.3050847457627119,50,14,27,9,feature_similarity
0.42,0.58,0.27586206896551724,50,14,28,8,feature_similarity
0.43,0.58,0.27586206896551724,50,14,28,8,feature_similarity
0.44,0.58,0.27586206896551724,50,14,28,8,feature_similarity
0.45,0.58,0.27586206896551724,50,14,28,8,feature_similarity
0.46,0.58,0.27586206896551724,50,14,28,8,feature_similarity
0.47,0.58,0.27586206896551724,50,14,28,8,feature_similarity
0.48,0.58,0.27586206896551724,50,14,28,8,feature_similarity
0.49,0.58,0.27586206896551724,50,14,28,8,feature_similarity
0.5,0.58,0.27586206896551724,50,14,28,8,feature_similarity
0.51,0.61,0.2909090909090909,53,11,28,8,feature_similarity
0.52,0.61,0.2909090909090909,53,11,28,8,feature_similarity
0.53,0.61,0.2909090909090909,53,11,28,8,feature_similarity
0.54,0.61,0.2909090909090909,53,11,28,8,feature_similarity
0.55,0.61,0.2909090909090909,53,11,28,8,feature_similarity
0.56,0.61,0.2909090909090909,53,11,28,8,feature_similarity
0.57,0.61,0.2909090909090909,53,11,28,8,feature_similarity
0.58,0.64,0.28,57,7,29,7,feature_similarity
0.59,0.64,0.28,57,7,29,7,feature_similarity
0.6,0.64,0.28,57,7,29,7,feature_similarity
0.61,0.68,0.2727272727272727,62,2,30,6,feature_similarity
0.62,0.68,0.2727272727272727,62,2,30,6,feature_similarity
0.63,0.68,0.2727272727272727,62,2,30,6,feature_similarity
0.64,0.68,0.2727272727272727,62,2,30,6,feature_similarity
0.65,0.68,0.2727272727272727,62,2,30,6,feature_similarity
0.66,0.67,0.23255813953488372,62,2,31,5,feature_similarity
0.67,0.67,0.23255813953488372,62,2,31,5,feature_similarity
0.68,0.67,0.23255813953488372,62,2,31,5,feature_similarity
0.69,0.67,0.23255813953488372,62,2,31,5,feature_similarity
0.7,0.67,0.23255813953488372,62,2,31,5,feature_similarity
0.71,0.66,0.10526315789473684,64,0,34,2,feature_similarity
0.72,0.66,0.10526315789473684,64,0,34,2,feature_similarity
0.73,0.66,0.10526315789473684,64,0,34,2,feature_similarity
0.74,0.66,0.10526315789473684,64,0,34,2,feature_similarity
0.75,0.66,0.10526315789473684,64,0,34,2,feature_similarity
0.76,0.66,0.10526315789473684,64,0,34,2,feature_similarity
0.77,0.66,0.10526315789473684,64,0,34,2,feature_similarity
0.78,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.79,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.8,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.81,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.82,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.83,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.84,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.85,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.86,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.87,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.88,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.89,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.9,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.91,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.92,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.93,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.94,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.95,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.96,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.97,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.98,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.99,0.65,0.05405405405405406,64,0,35,1,feature_similarity
1.0,0.65,0.05405405405405406,64,0,35,1,feature_similarity
0.0,0.36,0.5294117647058824,0,64,0,36,review_similarity
0.01,0.37,0.5190839694656488,3,61,2,34,review_similarity
0.02,0.37,0.5190839694656488,3,61,2,34,review_similarity
0.03,0.4,0.53125,6,58,2,34,review_similarity
0.04,0.4,0.5161290322580645,8,56,4,32,review_similarity
0.05,0.41,0.512396694214876,10,54,5,31,review_similarity
0.06,0.42,0.5084745762711864,12,52,6,30,review_similarity
0.07,0.42,0.48214285714285715,15,49,9,27,review_similarity
0.08,0.4,0.4444444444444444,16,48,12,24,review_similarity
0.09,0.4,0.4230769230769231,18,46,14,22,review_similarity
0.1,0.42,0.42,21,43,15,21,review_similarity
0.11,0.44,0.4166666666666667,24,40,16,20,review_similarity
0.12,0.45,0.42105263157894735,25,39,16,20,review_similarity
0.13,0.42,0.35555555555555557,26,38,20,16,review_similarity
0.14,0.44,0.3333333333333333,30,34,22,14,review_similarity
0.15,0.42,0.2926829268292683,30,34,24,12,review_similarity
0.16,0.4,0.25,30,34,26,10,review_similarity
0.17,0.41,0.25316455696202533,31,33,26,10,review_similarity
0.18,0.41,0.23376623376623376,32,32,27,9,review_similarity
0.19,0.42,0.21621621621621623,34,30,28,8,review_similarity
0.2,0.44,0.2,37,27,29,7,review_similarity
0.21,0.47,0.208955223880597,40,24,29,7,review_similarity
0.22,0.49,0.2153846153846154,42,22,29,7,review_similarity
0.23,0.51,0.2222222222222222,44,20,29,7,review_similarity
0.24,0.52,0.22580645161290322,45,19,29,7,review_similarity
0.25,0.53,0.22950819672131148,46,18,29,7,review_similarity
0.26,0.54,0.23333333333333334,47,17,29,7,review_similarity
0.27,0.54,0.20689655172413793,48,16,30,6,review_similarity
0.28,0.53,0.17543859649122806,48,16,31,5,review_similarity
0.29,0.54,0.17857142857142858,49,15,31,5,review_similarity
0.3,0.52,0.1111111111111111,49,15,33,3,review_similarity
0.31,0.51,0.07547169811320754,49,15,34,2,review_similarity
0.32,0.51,0.07547169811320754,49,15,34,2,review_similarity
0.33,0.51,0.07547169811320754,49,15,34,2,review_similarity
0.34,0.51,0.07547169811320754,49,15,34,2,review_similarity
0.35,0.51,0.07547169811320754,49,15,34,2,review_similarity
0.36,0.53,0.0784313725490196,51,13,34,2,review_similarity
0.37,0.53,0.0784313725490196,51,13,34,2,review_similarity
0.38,0.53,0.0784313725490196,51,13,34,2,review_similarity
0.39,0.53,0.0784313725490196,51,13,34,2,review_similarity
0.4,0.53,0.0784313725490196,51,13,34,2,review_similarity
0.41,0.53,0.0784313725490196,51,13,34,2,review_similarity
0.42,0.53,0.0784313725490196,51,13,34,2,review_similarity
0.43,0.53,0.0784313725490196,51,13,34,2,review_similarity
