run,count,tp,tn,fp,fn,accuracy,precision,recall,f1
run_1,100,3,63,1,33,0.66,0.75,0.08333333333333333,0.15
run_2,100,2,63,1,34,0.65,0.6666666666666666,0.05555555555555555,0.10256410256410256
run_3,100,1,63,1,35,0.64,0.5,0.027777777777777776,0.05263157894736842
majority_vote,100,2,63,1,34,0.65,0.6666666666666666,0.05555555555555555,0.10256410256410256
