run_name,count,accuracy,precision,recall,f1
run_1,100,0.65,0.6666666666666666,0.05555555555555555,0.10256410256410256
run_2,100,0.65,0.6666666666666666,0.05555555555555555,0.10256410256410256
run_3,100,0.65,0.6666666666666666,0.05555555555555555,0.10256410256410256
majority_vote,100,0.65,0.6666666666666666,0.05555555555555555,0.10256410256410256
